title,nb_reviews,nb_positives,nb_negatives,score_moyen,keywords
Cloudy with a Chance of Meatballs 2,3,2,1,0.22,"movie, story, awful, get, sequel, first, recommend, go, watch, bad"
Clueless,4,4,0,0.2,"film, good, teenagers, quite, life, cher, doesnt, way, movie, teen"
Cocaine Bear,11,9,2,0.08,"bear, movie, cocaine, time, film, good, one, enough, story, characters"
Cocktail,2,2,0,0.1,"film, get, bar, fun, brown, next, shue, something, tom, cruise"
Coco,5,5,0,0.32,"family, great, also, get, musical, characters, story, appeal, personally, films"
Cocoon,2,2,0,0.22,"film, well, group, bodies, new, think, light, cocoon, home, pool"
Collateral,2,2,0,0.22,"cruise, tom, still, go, made, pretty, good, led, movie, hes"
Collateral Beauty,1,1,0,0.22,"film, love, one, good, think, though, like, future, come, actors"
Colonia,1,1,0,0.15,"film, time, like, one, real, end, seen, feels, theme, story"
Colossal,3,3,0,0.17,"film, colossal, like, get, without, though, good, little, feels, act"
Coming 2 America,2,2,0,0.18,"akeem, original, 2, movie, america, it’s, zamunda, film, characters, jermaine"
Coming to America,5,5,0,0.31,"coming, america, good, much, comedy, see, one, would, even, time"
Conclave,7,6,1,0.16,"one, story, like, conclave, fiennes, little, film, make, ralph, even"
Concussion,1,1,0,0.19,"movie, nfl, one, must, past, good, world, always, dr, cte"
Confessions of a Dangerous Mind,1,0,1,-0.17,"couldnt, believe, charlie, kaufman, screenwriter, million, things, going, editing, tone"
Contagion,4,2,1,0.08,"really, lot, ones, epidemic, film, actually, movie, think, back, outbreak"
Contratiempo,4,4,0,0.24,"movie, ratings, though, found, plot, well, intriguing, would, recommend, bit"
Conviction,1,1,0,0.38,"good, performance, interesting, story, excessively, long"
Cool Hand Luke,2,2,0,0.22,"luke, film, newman, cool, great, supporting, paul, deep, prison, farm"
Coraline,3,3,0,0.21,"movies, movie, lot, children, entertaining, great, parents, world, graphic, would"
Corpse Bride,1,1,0,0.25,"even, new, really, family, “victor”, might, wedding, love, story, “van"
Couples Retreat,1,1,0,0.6,"problems, cant, lie, weather, girlfriend, free, room, board, place, ill"
Coyote Ugly,4,4,0,0.14,"film, good, music, one, dont, without, us, theres, story, bar"
Crash,1,1,0,0.08,"black, racism, asian, white, cop, young, wife, one, film, fit"
Crazy Rich Asians,3,3,0,0.15,"rich, crazy, asians, romcom, asian, romantic, cultural, two, narrative, traditions"
"Crazy, Stupid, Love.",3,3,0,0.27,"love, crazy, stupid, steve, carrell, characters, hard, movie, really, comedy"
Creed II,5,4,1,0.16,"rocky, creed, film, ii, adonis, fight, one, viktor, ivan, way"
Crimes and Misdemeanors,1,1,0,0.19,"woody, allen, definitely, toptier, writing, acting, directing, firstrate, finishes, another"
Crocodile Dundee,3,3,0,0.16,"dundee, crocodile, hogan, cinema, funny, film, new, york, sue, mick"
Crossroads,1,1,0,0.05,"film, remember, since, nothing, movie, ago, saw, mind, actually, like"
Cruel Intentions,1,1,0,0.14,"great, movie, pretty, raunchy, storyline, sad, well"
D2: The Mighty Ducks,1,1,0,0.03,"film, original, repetitive, cringey, liking, emd2, mighty, ducksem, takes, slightly"
Daddy's Home,2,2,0,0.28,"movie, comedy, dad, stepdad, versus, ferrell, wahlberg, scenes, best, either"
Daddy's Home 2,2,2,0,0.26,"nothing, kurt, first, either, one, end, enough, lithgow, two, much"
Dallas Buyers Club,2,2,0,0.06,"film, it’s, medication, mcconaughey, woodroof, aids, decides, leto, story, one"
Dangerous Liaisons,1,1,0,0.17,"film, films, good, lack, dangerous, liaisons, unquestionably, one, captivating, come"
Dara iz Jasenovca,1,1,0,0.05,"historical, dara, jasenovac, significant, atrocity, films, murder, human, chapters, uncomfortable"
Darbareye Elly,1,1,0,0.26,"great, drama, ball, lies, hit, back, main, characters, suspense, greatly"
Dark Waters,3,2,1,0.08,"movie, story, oscar, watching, dark, waters, series, dramatic, events, think"
Darkest Hour,7,6,1,0.29,"film, churchill, oldman, movie, people, characters, gary, question, take, big"
Das Experiment,1,1,0,0.06,"film, experiment, das, berus, took, prison, based, get, real, human"
Das Leben der Anderen,3,3,0,0.18,"tragic, state, wiesler, must, interesting, characters, stasi, see, love, film"
Date Night,3,2,1,0.16,"movie, funny, mark, nights, james, franco, wasnt, much, mean, tina"
Dave,2,2,0,0.03,"kline, “dave”, comedy, little, kevin, hope, one, secret, president, first"
Days of Heaven,3,3,0,0.12,"bill, farm, nature, heaven, malick, abby, becomes, story, gere, linda"
Dazed and Confused,5,5,0,0.17,"film, school, high, time, dazed, day, like, best, watch, one"
De rouille et d'os,2,2,0,0.18,"schoenaerts, relationship, cotillard, story, marion, matthias, everything, look, alain, young"
Dead Poets Society,5,4,1,0.16,"film, keating, school, williams, one, dead, poets, society, life, well"
Deadpool,13,11,2,0.25,"film, deadpool, movie, reynolds, like, ryan, films, watch, good, superhero"
Deadpool & Wolverine,20,18,2,0.22,"deadpool, film, wolverine, marvel, movie, reynolds, characters, films, ryan, one"
Deadpool 2,9,7,2,0.14,"deadpool, movie, film, first, like, much, characters, even, really, lot"
Dear John,1,0,1,-0.01,"movie, big, fan, thought, girl, messed, sure, kind, romance, suppose"
Death Proof,5,4,1,0.1,"death, proof, one, tarantino, car, film, women, girls, two, feature"
Death at a Funeral,2,2,0,0.26,"movie, watch, story, original, tudyk, one, almost, role, alan, like"
Death on the Nile,10,10,0,0.17,"poirot, movie, mystery, murder, film, nile, death, like, kenneth, hercule"
Death to Smoochy,1,1,0,0.28,"good, really, like, ed, hated, robin, williams, even, though, watched"
Deep Water,4,3,1,0.05,"affleck, deep, water, lyne, good, one, ana, de, melinda, movie"
Deepwater Horizon,3,3,0,0.16,"film, well, movie, us, disaster, also, platform, technical, oil, without"
"Definitely, Maybe",2,2,0,0.2,"movie, correct, comedy, big, surprises, except, ryan, reynolds, decent, comedies"
Delivery Man,1,1,0,0.22,"watch, vince, vaughn, movie, probably, kids, honestly, think, better, good"
Demolition,2,2,0,0.2,"davis, film, gyllenhaal, gyllenhaals, way, demolition, –, hes, best, films"
Den stygge stesøsteren,1,1,0,0.05,"turn, “elvira”, quite, might, it’s, actually, don’t, suppose, you’d, kicked"
Der Untergang,2,2,0,0.1,"it’s, man, like, berlin, days, ganz, appreciate, though, hitler’s, late"
Despicable Me,2,2,0,0.18,"despicable, characters, film, time, “gru”, even, story, old, minions, every"
Despicable Me 2,3,3,0,0.37,"films, film, gru, minions, even, despicable, first, plot, little, agent"
Despicable Me 3,5,5,0,0.17,"film, like, much, brother, dont, minions, first, fun, emdespicable, another"
Despicable Me 4,8,8,0,0.16,"gru, voice, film, movie, minions, new, like, characters, story, franchise"
Deuce Bigalow: Male Gigolo,2,2,0,0.04,"movie, like, watch, gigolo, probably, rob, got, hes, unexpected, humor"
"Deux jours, une nuit",2,2,0,0.26,"theres, one, really, work, sandra, cotillard, much, though, marion, timur"
Dial M for Murder,6,6,0,0.26,"film, hitchcock, grace, kelly, would, murder, ray, milland, tony, 3d"
Diarios de motocicleta,1,1,0,0.21,"trip, guevara, granado, de, la, serna, norton, better, continent, stop"
Diary of a Wimpy Kid,2,2,0,0.29,"movie, good, hes, social, didnt, actually, liked, best, watch, younger"
Dirty Dancing,5,5,0,0.13,"like, film, time, johnny, dance, well, swayzes, jennifer, entertaining, dancing"
Dirty Grandpa,2,1,1,0.02,"dick, dirty, grandpa, one, comedy, deniro, zac, film, deniros, could"
Disturbia,3,3,0,0.18,"thriller, disturbia, solid, one, film, modern, suspense, act, well, cast"
Django Unchained,8,7,1,0.25,"django, like, movie, tarantino, one, unchained, schultz, slave, people, plantation"
Do Revenge,1,1,0,0.27,"spoilerfree, minireviews, httpswwwmsbreviewscommoviereviewsminireviews2022edition, revenge, works, best, camila, mendes, maya, hawke"
Do lok tin si,1,1,0,0.1,"movie, also, first, one, another, chungking, camera, express, two, meets"
Do the Right Thing,2,2,0,0.09,"it’s, wrong, way, black, right, thing, brooklyn, one, community, city"
Dodgeball: A True Underdog Story,3,3,0,0.12,"movie, time, character, dodgeball, one, vaughn, ben, stiller, long, goodman"
Dog,2,2,0,0.12,"film, channing, tatum, quite, two, half, felt, full, spoilerfree, review"
Dog Day Afternoon,2,2,0,0.25,"film, pacino, made, good, lumet, al, authorities, well, director, sidney"
Dogma,3,3,0,0.16,"well, time, really, might, it’s, first, something, kevin, smith, comedy"
Dolemite Is My Name,1,1,0,0.37,"minutes, flick, emdolemite, nameem, terrific, find, opening, 3040, lesser, still"
Dolittle,3,3,0,0.06,"downey, one, even, dolittle, cast, like, movie, animals, movies, im"
Dolor y gloria,2,2,0,0.31,"film, back, ‘pain, glory’, act, looking, feel, need, every, one"
Don Jon,1,1,0,0.39,"interesting, story, found, movie, much, thought, first, glance, gordonlevitt, tells"
Don Juan DeMarco,4,4,0,0.29,"depp, brando, film, juan, johnny, movie, marlon, bad, man, doctor"
Don't Look Up,4,4,0,0.16,"media, movie, social, comet, cast, leonardo, jennifer, lawrence, film, political"
Don't Worry Darling,7,7,0,0.16,"film, really, pugh, story, styles, pine, worry, plot, dont, character"
Donnie Darko,5,4,1,0.1,"film, movie, gyllenhaal, universe, jake, well, several, time, one, young"
Double Indemnity,6,6,0,0.26,"film, best, wilder, one, noir, macmurray, barbara, stanwyck, robinson, insurance"
Doubt,2,2,0,0.18,"film, well, first, hoffman, streep, scene, man, still, seen, american"
Down by Law,2,2,0,0.24,"film, work, characters, time, jarmuschs, good, one, john, jarmusch, well"
Down with Love,1,1,0,0.11,"renée, mcgregor, doris, day, romcoms, zellweger, ewan, city, minutes, universal"
Downton Abbey,2,1,1,0.17,"film, fans, see, chris, though, ‘downton, abby’s’, transition, isnt, going"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4,3,1,0.08,"film, sellers, war, one, peter, nuclear, american, comedy, also, president"
Draft Day,1,1,0,0.3,"costner, movie, never, bet, kevin, i’m, typically, sports, fan, surprised"
Dream Scenario,4,3,1,0.09,"cage, one, rather, movie, film, professor, nicolas, cancel, culture, dreams"
Dreamgirls,1,1,0,0.27,"women, film, effie, along, personal, curtis, foxx, star, early, murphy"
Drive,7,7,0,0.17,"movie, drive, gosling, character, much, like, one, film, ryan, work"
Driving Miss Daisy,1,1,0,0.2,"bit, though, end, characters, across, odd, one, leaving, mark, emdriving"
Drop,5,5,0,0.14,"film, date, violet, like, first, drop, well, good, made, meghann"
Druk,3,3,0,0.15,"alcohol, mads, found, good, film, many, us, thomas, worked, well"
Due Date,3,2,1,0.09,"movie, watch, funny, like, lot, robert, better, really, jr, downey"
Dumb Money,3,3,0,0.17,"really, quite, stock, didnt, company, wanted, still, internet, story, find"
Dumb and Dumber,5,3,1,0.05,"film, dumb, time, films, good, bad, silly, watch, usually, comedy"
Dumb and Dumber To,1,1,0,0.38,"better, original, think, pretty, funny, thought, comedy"
Dunkirk,14,13,0,0.16,"film, movie, dunkirk, soldiers, story, also, war, one, like, british"
Duplicity,2,1,1,-0.15,"still, quite, movie, even, worked, roberts, owen, thing, really, man"
Eastern Promises,2,1,1,0.02,"movie, family, better, really, anna, watts, well, child, mother, go"
Easy A,4,4,0,0.29,"comedy, easy, girl, little, like, school, great, olive, really, emma"
Easy Rider,1,1,0,0.15,"freedom, easy, film, wyatt, end, rider, fonda, new, hippies, billy"
Eat Pray Love,1,1,0,0.04,"emotional, version, eat, pray, love, presents, promising, story, selfdiscovery, divorce"
Ed Wood,1,1,0,0.24,"film, films, well, work, ed, wood, woods, certain, fit, job"
Eddie the Eagle,2,2,0,0.27,"film, one, think, british, best, like, eddie, ski, man, little"
Eden,2,2,0,0.16,"one, less, could, sought, paradise, however, way, life, island, story"
Edward Scissorhands,4,3,0,0.21,"though, tim, burton, like, depp, story, creator, little, film, enjoyable"
Eight Below,1,1,0,0.23,"dogs, dark, heartwrenching, couldve, perhaps, shouldve, noted, emeight, belowem, remake"
Eighth Grade,3,3,0,0.29,"burnham, internet, it’s, anxiety, school, make, modern, eighth, grade, girl"
El Camino,1,0,1,-0.11,"okay, movie, breaking, bad, zero, actually, worse, slow, paced, long"
El cuerpo,2,2,0,0.07,"film, movie, dont, first, got, one, us, want, final, husband"
El laberinto del fauno,3,3,0,0.29,"real, movie, world, young, really, ofelia, girl, del, toro, gets"
El secreto de sus ojos,3,3,0,0.13,"original, hollywood, film, best, see, many, really, since, darín, investigation"
Election,4,4,0,0.15,"school, high, teacher, flick, witherspoon, like, broderick, klein, make, reese"
Elemental,7,7,0,0.21,"elements, movie, fire, kids, story, pixar, ember, business, way, elemental"
Elf,6,6,0,0.27,"christmas, elf, movie, film, buddy, new, watch, story, santa, caan"
Elizabeth,2,2,0,0.32,"cast, reign, historical, like, full, say, great, good, early, alive"
Elizabeth: The Golden Age,1,1,0,0.22,"rather, much, elizabeth, queen, film, really, sadly, someone, agreed, sequel"
Elizabethtown,1,1,0,0.21,"liked, charming, uneven, romanticdramacomedy, moments, though, orlando, blooms, narration, felt"
Ella Enchanted,1,1,0,0.17,"act, it’s, whimsical, doesn’t, job, unique, movie, ella, enchanted, fairy"
Emma.,6,6,0,0.32,"film, emma, period, great, one, anya, like, movie, two, much"
Empire Records,1,1,0,0.15,"film, employees, one, music, young, go, story, also, well, rock"
En man som heter Ove,3,2,1,0.15,"life, film, like, ove, book, films, one, time, version, story"
Encanto,5,5,0,0.61,"family, community, magical, film, mirabel, disney, gift, encanto, story, animation"
Enchanted,2,2,0,0.17,"quite, young, cant, really, get, still, adams, day, falling, power"
End of Watch,3,2,1,0.09,"cops, see, one, taylor, la, long, good, would, movie, even"
Endless Love,1,1,0,0.05,"david, love, jade, father, jades, endless, high, little, point, day"
Enemy,2,1,1,-0.02,"one, watch, bad, la, double, vie, de, veronique, make, worse"
Enola Holmes,4,4,0,0.19,"one, movie, film, sherlock, millie, enola, it’s, good, still, brown"
Entourage,1,1,0,0.21,"film, original, series, want, like, hollywood, quite, cast, time, without"
Eo-jjeol su-ga eop-da,3,3,0,0.07,"job, film, –, that’s, choice, man, might, comedy, paper, it’s"
Er ist wieder da,2,2,0,0.26,"like, people, adolf, hitler, think, hes, person, film, best, theres"
Escape from Alcatraz,3,3,0,0.17,"one, escape, ema, still, eastwood, film, mcgoohan, little, siegel, great"
Eternal Sunshine of the Spotless Mind,8,7,1,0.19,"memory, –, mind, carrey, film, one, memories, also, winslet, spotless"
Eternity,3,3,0,0.28,"eternity, us, one, husband, first, help, randolph, time, life, even"
EuroTrip,2,2,0,0.16,"one, didnt, excusy, might, lesser, teen, sex, comedies, came, success"
Eurovision Song Contest: The Story of Fire Saga,1,0,1,-0.15,"eurovision, like, also, ferrell, fails, lot, comedy, nothing, works, theres"
Evan Almighty,1,1,0,0.15,"still, movie, good, bruce, almighty, funny, steve, carrell, character, gets"
Everest,5,5,0,0.1,"movie, one, true, everest, mountain, real, story, climbing, us, film"
Everybody Wants Some!!,3,2,1,0.22,"film, well, like, still, college, first, one, im, bit, characters"
Everybody's Fine,1,1,0,0.03,"boring, road, movie, de, see, kate, beckinsale, sam, rockwell, kind"
"Everything, Everything",1,1,0,0.12,"film, perspective, rapunzel, tale, films, yet, teen, romance, told, girl"
Ex Machina,4,4,0,0.17,"ai, human, something, thought, story, watch, scifi, kinda, dont, intelligence"
Extremely Loud & Incredibly Close,1,1,0,0.11,"way, film, find, meaning, much, believe, people, need, see, father"
"Extremely Wicked, Shockingly Evil and Vile",4,4,0,0.12,"bundy, film, liz, killer, ted, berlinger, one, story, like, serial"
Fa yeung nin wah,1,1,0,0.17,"story, two, us, wife, film, love, entirely, relationship, close, fine"
Failure to Launch,1,1,0,0.25,"good, minutes, simply, ok, film, though, last, 2030, drag, tad"
Falling Down,2,1,1,0.0,"movie, guy, people, dfens, start, things, life, watched, really, urban"
Fanboys,1,1,0,0.09,"definitely, like, titular, characters, star, wars, super, nerd, give, fanboys"
Fantastic Mr. Fox,4,3,0,0.18,"whole, great, george, clooney, fun, stop, motion, film, piece, wes"
Far from the Madding Crowd,2,2,0,0.29,"like, film, story, three, one, seen, version, mulligan, films, schoenaerts"
Fargo,4,4,0,0.32,"good, film, one, best, story, great, like, movie, mcdormand, people"
Fast Times at Ridgemont High,1,1,0,0.06,"still, like, seen, one, times, years, fun, ever, wonderful, ensemble"
Fatherhood,3,2,1,0.04,"character, kevin, fatherhood, movie, always, wife, film, family, nice, director"
Fear and Loathing in Las Vegas,1,1,0,1.0,"johnny, depp, perfect, actor, role, going, drug, binge, vegas, always"
Ferrari,2,2,0,0.12,"film, family, much, adam, driver, penélope, cruz, racing, man, life"
Fever Pitch,1,1,0,0.18,"usually, one, lot, romantic, characters, subgenres, movies, like, comedies, seem"
Field of Dreams,6,6,0,0.21,"film, dreams, field, family, fantasy, baseball, movie, way, dream, ray"
Fifty Shades Darker,4,4,0,0.13,"film, time, shades, two, like, films, way, nothing, better, comes"
Fifty Shades Freed,5,5,0,0.27,"sex, film, even, 10, plot, actually, gave, one, first, see"
Fifty Shades of Grey,4,3,1,0.05,"movie, bad, dornan, though, one, sex, stupid, watch, ok, read"
Fight Club,10,9,1,0.25,"movie, time, fincher, one, like, fight, still, also, much, film"
Fighting with My Family,1,1,0,0.23,"may, feel, like, really, wrestling, movie, much, character, study, remotely"
Finding Dory,3,2,1,0.1,"film, nemo, made, one, lost, animation, would, way, story, really"
Finding Nemo,4,4,0,0.37,"nemo, seen, characters, animation, dory, loads, one, best, great, also"
Finding Neverland,2,2,0,0.18,"peter, barrie, young, pan, much, doesnt, depp, like, highmore, jm"
Fish Tank,1,1,0,0.2,"jarvis, mia, fassbender, even, doesnt, quite, treadaway, kate, great, form"
Flashdance,2,2,0,0.34,"film, soundtrack, great, jennifer, beals, still, time, rest, really, keen"
Florence Foster Jenkins,2,2,0,0.27,"film, one, good, best, streep, films, dream, like, know, life"
Focus,3,3,0,0.32,"one, movie, great, con, another, two, movies, clever, best, focus"
Footloose,3,2,1,0.12,"town, dancing, film, like, actually, time, ren, new, bacon, also"
Forgetting Sarah Marshall,2,2,0,0.36,"segel, stars, resort, rock, several, scenes, refreshing, funny, romcom, pornish"
Forrest Gump,3,3,0,0.74,"best, ever, love, movie, hanks, box, sense, learn, lt, dan"
Four Christmases,1,1,0,0.3,"keep, jon, enjoyed, emfour, christmasesem, even, gradually, drop, quality, throughout"
Four Lions,2,2,0,0.35,"way, anything, four, omar, birds, get, doesnt, hilarious, start, end"
Four Weddings and a Funeral,2,2,0,0.16,"charles, grant, one, wet, little, hugh, best, weddings, performance, obvious"
Fracture,3,3,0,0.2,"crawford, courtroom, watch, drama, anthony, hopkins, movie, really, beachum, away"
Fractured,4,3,0,0.04,"hospital, movie, it’s, story, ray, daughter, dramatic, fractured, sam, worthington"
Frailty,1,1,0,0.14,"enjoyed, nearly, every, aspect, film, especially, didnt, really, unnecessary, violence"
Frances Ha,3,3,0,0.27,"frances, one, film, life, movie, new, even, really, gerwig, sometimes"
Frank,1,1,0,0.08,"head, frank, inside, movie, giant, maybe, man, one, start, would"
Frankenweenie,2,2,0,0.2,"good, also, frankenstein, fun, tim, burton, stopmotion, film, animation, way"
Freaky Friday,2,2,0,0.3,"good, watch, movie, fun, im, jamie, lee, curtis, several, original"
Free Guy,9,9,0,0.24,"guy, movie, free, watch, ryan, reynolds, game, great, action, first"
Free Willy,3,3,0,0.2,"film, years, animals, one, family, movie, good, people, also, captivity"
French Kiss,1,1,0,0.13,"one, movie, french, yes, im, testosteronedriven, macho, male, admit, favourite"
Frequency,1,1,0,0.28,"murder, thrilling, frequency, thriller, killer, loved, story, family, crime, overall"
Frida,1,1,0,0.18,"film, us, life, art, good, mexican, kahlo, artist, powerful, paintings"
Friday,2,1,1,-0.01,"damnnnnnnnn, got, knocked, fuck, man, everyone, know, movie, youve, never"
Friends with Benefits,2,1,1,0.06,"even, kunis, sex, film, timberlake, like, timberlakes, character, one, doesnt"
Fright Night,3,3,0,0.15,"quite, movie, must, bit, still, decent, teen, maybe, story, well"
Frost/Nixon,3,3,0,0.1,"watch, film, really, would, like, president, frost, almost, anything, actual"
Frozen,7,7,0,0.19,"frozen, story, elsa, disney, animated, anna, one, let, go, movie"
Frozen II,9,8,1,0.23,"it’s, film, one, elsa, story, anna, olaf, first, sequel, animation"
Fruitvale Station,3,3,0,0.18,"movie, oscar, film, see, kind, changed, know, incident, still, good"
Full Metal Jacket,4,2,2,0.06,"vietnam, film, joker, second, half, first, war, kubrick, camp, metal"
Fun with Dick and Jane,2,2,0,0.23,"seen, jim, good, like, get, carrey, film, havent, comedy, great"
Funny Games,1,0,1,-0.03,"movie, watch, film, cant, help, really, despise, especially, egregious, pretentious"
Funny People,3,2,1,0.27,"good, movie, dont, really, watch, character, comedy, know, dying, job"
Gake no ue no Ponyo,1,1,0,0.29,"ghibli, movies, home, animation, score, ghibli’s, best, story, definitely, simpler"
Gallipoli,1,1,0,0.16,"war, film, portuguese, young, doesnt, first, world, action, battle, two"
Game Night,4,3,1,0.18,"one, watch, movie, would, bateman, watched, get, especially, give, time"
Garden State,2,1,1,0.03,"interesting, sometimes, funny, aim, transcendental, actually, finally, natalie, portman, zach"
Garfield: A Tail of Two Kitties,1,1,0,0.5,"movie, like, ok, better, messes, odie, trying, cute"
Garfield: The Movie,2,2,0,0.24,"film, garfield, cat, like, animated, character, even, real, problems, comic"
Gentlemen Prefer Blondes,2,2,0,0.2,"film, two, one, girls, gentlemen, prefer, blondes, sharp, films, source"
Get Hard,2,2,0,0.12,"movie, like, one, concept, first, many, prison, would, show, good"
Get Him to the Greek,2,2,0,0.07,"movie, get, russell, brand, gives, good, performance, everything, else, quite"
Get Smart,3,3,0,0.2,"smart, get, steve, movie, funny, hilarious, comedy, like, people, fat"
Ghost,4,4,0,0.25,"doesnt, ghost, tony, goldwyn, goldberg, movies, takes, well, sam, molly"
Ghost Town,1,1,0,0.46,"really, movie, good, story, great, enjoyed, funny, lovely, romantic, element"
Ghost World,2,2,0,0.04,"it’s, “enid”, school, two, character, buscemi, much, drama, find, make"
Ghostbusters: Afterlife,7,6,1,0.1,"film, movie, original, well, one, also, really, would, franchise, character"
Gifted,5,5,0,0.19,"movie, evans, well, good, great, grace, like, mother, frank, really"
"Girl, Interrupted",3,2,1,-0.04,"girl, jolie, lisa, really, susanna, interrupted, goldberg, difficult, one, best"
Gisaengchung,16,16,0,0.2,"film, one, bong, family, best, movie, parasite, parks, kims, like"
Gladiator,6,5,0,0.15,"film, gladiator, crowe, maximus, really, well, roman, empire, movie, scott"
Glass Onion,12,11,1,0.19,"film, well, first, movie, character, mystery, cast, like, knives, great"
Glory,4,4,0,0.18,"film, war, regiment, men, shaw, best, soldiers, much, really, civil"
Glory Road,2,2,0,0.26,"story, feels, even, glory, road, disney, film, also, great, better"
God Bless America,1,1,0,0.17,"film, well, good, even, many, better, anything, got, time, still"
God's Not Dead,1,0,1,-0.05,"christian, propaganda, trash, embarrassment, word, movie"
Going in Style,3,3,0,0.19,"film, us, much, bank, good, well, comedy, three, one, done"
Gojira Mainasu Wan,11,11,0,0.17,"godzilla, movie, monster, one, film, good, movies, best, story, effects"
Gold,1,1,0,0.29,"film, wall, street, two, one, thought, end, changed, well, treasure"
Gone Baby Gone,3,3,0,0.14,"affleck, gone, monaghan, ben, film, baby, casey, freeman, patrick, missing"
Gone Girl,6,6,0,0.18,"one, film, character, movie, pike, affleck, media, even, harris, good"
Gone with the Wind,1,1,0,0.19,"movie, large, cast, bit, cannot, fully, explain, aspects, easily, clearly"
Good Boys,5,5,0,0.18,"movie, characters, kids, film, really, get, good, given, humor, seeing"
Good Bye Lenin!,1,1,0,0.19,"brühl, thing, it’s, sister, live, whole, one, end, later, keep"
Good Fortune,1,1,0,0.22,"bit, he’s, “ari”, man, “jeff”, really, fun, poor, “gabriel”, reeves"
Good Luck Chuck,1,1,0,0.23,"watch, great, youre, one, everything, movie, character, several, times, likely"
"Good Luck to You, Leo Grande",4,4,0,0.24,"leo, sex, film, us, story, full, luck, grande, emma, thompson"
"Good Morning, Vietnam",2,2,0,0.36,"williams, vietnam, good, amusing, war, cronauer, robin, adrian, see, forest"
"Good Night, and Good Luck.",1,1,0,0.14,"time, us, style, sets, many, mccarthy, strathairn, clooney, still, quite"
Good Time,4,3,1,0.12,"time, pattinson, film, good, movie, really, brother, story, like, robert"
Good Will Hunting,6,6,0,0.24,"film, williams, damon, one, good, best, much, character, matt, affleck"
GoodFellas,10,9,1,0.28,"film, story, scorsese, martin, funny, goodfellas, it’s, henry, life, pesci"
Goon,1,1,0,0.11,"movie, hockey, doug, book, goon, glatt, really, felt, like, time"
Goosebumps,7,7,0,0.19,"goosebumps, black, one, would, like, jack, zach, stine, book, movie"
Gosford Park,2,1,1,0.13,"well, many, good, bit, character, plot, murder, mystery, could, takes"
Gran Torino,3,3,0,0.24,"film, walt, one, clint, eastwood, way, films, character, bee, im"
Gravity,6,5,1,0.26,"movie, would, great, felt, even, point, really, script, whole, every"
Grease,5,5,0,0.16,"grease, one, movie, sandy, danny, time, summer, love, film, musical"
Green Book,7,6,1,0.13,"film, movie, best, two, one, time, farrelly, dont, story, even"
Green Street,1,1,0,0.18,"woefully, underrated, drama, often, passed, boys, night, action, film, final"
Greyhound,5,4,1,0.1,"war, film, hanks, one, greyhound, action, movie, story, like, tom"
Gridiron Gang,1,1,0,0.33,"great, movie, love, football, movies, one, keeps, interested, bad, cant"
Groundhog Day,7,6,0,0.21,"day, it’s, one, story, bill, movie, like, phil, murray, kind"
Grown Ups,1,1,0,0.5,"great, movie, grown, ups, like, party, family, would, fit, right"
Grown Ups 2,1,1,0,0.17,"good, first, thats, pretty, hard, love, rematch, basketball, game"
Grudge Match,1,0,1,-0.06,"pretty, much, bang, average, solid, 5, maybe, 6, push, ratings"
Grumpy Old Men,2,2,0,0.28,"movie, good, grumpy, old, men, matthau, lemmon, new, film, funny"
Guardians of the Galaxy,15,14,0,0.31,"movie, film, guardians, characters, mcu, one, galaxy, great, marvel, like"
Guess Who,1,1,0,0.18,"funny, movie, nowadays, one, cares, black, white, relationships, like, back"
Guillermo del Toro's Pinocchio,7,7,0,0.25,"movie, story, pinocchio, del, stopmotion, original, guillermo, well, version, film"
Hable con ella,2,1,1,0.03,"story, film, like, benigno, love, friendship, end, is…really, something, different"
Hachi: A Dog's Tale,2,2,0,0.22,"movie, dogs, story, animals, owners, people, film, dog, japanese, one"
Hackers,2,2,0,0.22,"movie, awesome, bad, fun, watch, hackers, angelina, jolie, hubba, totally"
Hacksaw Ridge,8,8,0,0.22,"film, doss, gibson, war, well, one, desmond, mel, first, story"
"Hail, Caesar!",3,3,0,0.19,"film, it’s, doyle, coen, brothers, much, caesar, also, would, there’s"
Half Nelson,1,1,0,0.08,"life, dan, drug, frank, gosling, teacher, bit, school, hes, one"
Hamnet,4,4,0,0.17,"it’s, life, time, story, work, zhao, family, though, “hamnet”, buckley"
Hancock,4,3,1,0.09,"film, good, character, smith, doesnt, smiths, one, great, superhero, effort"
Hannah Montana: The Movie,1,1,0,0.33,"coming, cyrus, genuinely, enjoyed, didnt, see, emhannah, montana, movieem, kept"
Hannah and Her Sisters,1,1,0,0.19,"it’s, “hannah”, caine, one, quite, cast, works, actress, bit, “holly”"
Hannibal Rising,1,1,0,0.07,"hannibal, us, horror, something, many, hand, thriller, fact, fans, help"
Happiest Season,3,3,0,0.25,"movie, little, much, watch, familiar, story, many, harper, christmas, movies"
Happy Feet,2,2,0,0.2,"it’s, might, different, set, “mumble”, dance, that’s, though, really, quite"
Happy Gilmore,3,2,1,-0.02,"sandler, much, movie, comedy, story, friends, sport, happy, takes, course"
Happy Gilmore 2,4,4,0,0.24,"movie, good, it’s, original, one, pretty, gilmore, sandler, like, first"
Harold & Kumar Escape from Guantanamo Bay,1,1,0,0.25,"first, movie, little, watch, structure, harold, antagonist, less, fun, running"
